elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
John can study novel and Mary can,,,,,John can study novel and Mary can study novel,,,,,John can study novel and Mary learns,,,,,1
Mary can watch movies but Sarah cannot,,,,,Mary can watch movies but Sarah cannot watch movies,,,,,Mary can watch movies but Sarah sees,,,,,1
John will like pizza and Mary will,,,,,John will like pizza and Mary will like pizza,,,,,John will like pizza and Mary appreciates,,,,,1
Mary will study chess and John will,,,,,Mary will study chess and John will study chess,,,,,Mary will study chess and John learns,,,,,1
John can study history but Mary cannot,,,,,John can study history but Mary cannot study history,,,,,John can study history but Mary learns,,,,,1
Sarah cannot like tennis but John can,,,,,Sarah cannot like tennis but John can like tennis,,,,,Sarah cannot like tennis but John appreciates,,,,,1
Mary will play tennis and Sarah will,,,,,Mary will play tennis and Sarah will play tennis,,,,,Mary will play tennis and Sarah participates,,,,,1
Sarah cannot like history but John can,,,,,Sarah cannot like history but John can like history,,,,,Sarah cannot like history but John appreciates,,,,,1
Mary will study TV shows and Tim will,,,,,Mary will study TV shows and Tim will TV shows,,,,,Mary will study TV shows and Tim learns,,,,,1
Tim will teach chess and Sarah will,,,,,Tim will teach chess and Sarah will teach chess,,,,,Tim will teach chess and Sarah tutors,,,,,1
Mary will play chess and Sarah will,,,,,Mary will play chess and Sarah will play chess,,,,,Mary will play chess and Sarah participates,,,,,1
Mary can like TV shows but Tim cannot,,,,,Mary can like TV shows but Tim cannot TV shows,,,,,Mary can like TV shows but Tim appreciates,,,,,1
John will like poems and Sarah will,,,,,John will like poems and Sarah will like poems,,,,,John will like poems and Sarah appreciates,,,,,1
Sarah will like math and Tim will,,,,,Sarah will like math and Tim will like math,,,,,Sarah will like math and Tim appreciates,,,,,1
John can teach tennis and Mary can,,,,,John can teach tennis and Mary can teach tennis,,,,,John can teach tennis and Mary tutors,,,,,1
Tim can study coffee and Mary can,,,,,Tim can study coffee and Mary can study coffee,,,,,Tim can study coffee and Mary learns,,,,,1
Mary can like tea but Sarah cannot,,,,,Mary can like tea but Sarah cannot like tea,,,,,Mary can like tea but Sarah appreciates,,,,,1
Tim will like pizza and John will,,,,,Tim will like pizza and John will like pizza,,,,,Tim will like pizza and John appreciates,,,,,1
John will study movies and Tim will,,,,,John will study movies and Tim will study movies,,,,,John will study movies and Tim learns,,,,,1
Mary can teach music and John can,,,,,Mary can teach music and John can teach music,,,,,Mary can teach music and John tutors,,,,,1
Tim cannot study novel but Mary can,,,,,Tim cannot study novel but Mary can study novel,,,,,Tim cannot study novel but Mary learns,,,,,1
Mary can like movies but Tim cannot,,,,,Mary can like movies but Tim cannot like movies,,,,,Mary can like movies but Tim appreciates,,,,,1
Tim cannot watch TV shows but Sarah can,,,,,Tim cannot watch TV shows but Sarah can TV shows,,,,,Tim cannot watch TV shows but Sarah sees,,,,,1
Sarah can study sushi and Tim can,,,,,Sarah can study sushi and Tim can study sushi,,,,,Sarah can study sushi and Tim learns,,,,,1
Tim cannot study novel but John can,,,,,Tim cannot study novel but John can study novel,,,,,Tim cannot study novel but John learns,,,,,1
Tim cannot study TV shows but Sarah can,,,,,Tim cannot study TV shows but Sarah can TV shows,,,,,Tim cannot study TV shows but Sarah learns,,,,,1
John will like coffee and Tim will,,,,,John will like coffee and Tim will like coffee,,,,,John will like coffee and Tim appreciates,,,,,1
John can cook sushi and Tim can,,,,,John can cook sushi and Tim can cook sushi,,,,,John can cook sushi and Tim makes,,,,,1
Tim will like music and Mary will,,,,,Tim will like music and Mary will like music,,,,,Tim will like music and Mary appreciates,,,,,1
Tim will study math and John will,,,,,Tim will study math and John will study math,,,,,Tim will study math and John learns,,,,,1
Mary can read novel but John cannot,,,,,Mary can read novel but John cannot read novel,,,,,Mary can read novel but John interprets,,,,,1
Mary can study chess but Sarah cannot,,,,,Mary can study chess but Sarah cannot study chess,,,,,Mary can study chess but Sarah learns,,,,,1
John can like tennis but Mary cannot,,,,,John can like tennis but Mary cannot like tennis,,,,,John can like tennis but Mary appreciates,,,,,1
John will watch movies and Sarah will,,,,,John will watch movies and Sarah will watch movies,,,,,John will watch movies and Sarah sees,,,,,1
Tim will watch movies and Mary will,,,,,Tim will watch movies and Mary will watch movies,,,,,Tim will watch movies and Mary sees,,,,,1
Sarah will study music and Mary will,,,,,Sarah will study music and Mary will study music,,,,,Sarah will study music and Mary learns,,,,,1
John cannot teach history but Sarah can,,,,,John cannot teach history but Sarah can teach history,,,,,John cannot teach history but Sarah tutors,,,,,1
Tim can study tea and Sarah can,,,,,Tim can study tea and Sarah can study tea,,,,,Tim can study tea and Sarah learns,,,,,1
Sarah can study tea and Tim can,,,,,Sarah can study tea and Tim can study tea,,,,,Sarah can study tea and Tim learns,,,,,1
John cannot study TV shows but Sarah can,,,,,John cannot study TV shows but Sarah can TV shows,,,,,John cannot study TV shows but Sarah learns,,,,,1
Mary cannot like pizza but Sarah can,,,,,Mary cannot like pizza but Sarah can like pizza,,,,,Mary cannot like pizza but Sarah appreciates,,,,,1
Mary will study pizza and John will,,,,,Mary will study pizza and John will study pizza,,,,,Mary will study pizza and John learns,,,,,1
Mary will study coffee and Sarah will,,,,,Mary will study coffee and Sarah will study coffee,,,,,Mary will study coffee and Sarah learns,,,,,1
Mary can like tea but Tim cannot,,,,,Mary can like tea but Tim cannot like tea,,,,,Mary can like tea but Tim appreciates,,,,,1
Mary cannot watch movies but Sarah can,,,,,Mary cannot watch movies but Sarah can watch movies,,,,,Mary cannot watch movies but Sarah sees,,,,,1
Mary cannot teach history but Sarah can,,,,,Mary cannot teach history but Sarah can teach history,,,,,Mary cannot teach history but Sarah tutors,,,,,1
Sarah will like poems and Tim will,,,,,Sarah will like poems and Tim will like poems,,,,,Sarah will like poems and Tim appreciates,,,,,1
John can teach music but Sarah cannot,,,,,John can teach music but Sarah cannot teach music,,,,,John can teach music but Sarah tutors,,,,,1
Mary can play tennis but Sarah cannot,,,,,Mary can play tennis but Sarah cannot play tennis,,,,,Mary can play tennis but Sarah participates,,,,,1
Mary cannot cook pizza but John can,,,,,Mary cannot cook pizza but John can cook pizza,,,,,Mary cannot cook pizza but John makes,,,,,1
John will like novel and Tim will,,,,,John will like novel and Tim will like novel,,,,,John will like novel and Tim appreciates,,,,,1
Sarah cannot study chess but John can,,,,,Sarah cannot study chess but John can study chess,,,,,Sarah cannot study chess but John learns,,,,,1
John cannot like tennis but Mary can,,,,,John cannot like tennis but Mary can like tennis,,,,,John cannot like tennis but Mary appreciates,,,,,1
Mary can like sushi but John cannot,,,,,Mary can like sushi but John cannot like sushi,,,,,Mary can like sushi but John appreciates,,,,,1
Mary can study coffee but John cannot,,,,,Mary can study coffee but John cannot study coffee,,,,,Mary can study coffee but John learns,,,,,1
Mary cannot like math but Tim can,,,,,Mary cannot like math but Tim can like math,,,,,Mary cannot like math but Tim appreciates,,,,,1
John will study coffee and Tim will,,,,,John will study coffee and Tim will study coffee,,,,,John will study coffee and Tim learns,,,,,1
Tim cannot teach chess but Sarah can,,,,,Tim cannot teach chess but Sarah can teach chess,,,,,Tim cannot teach chess but Sarah tutors,,,,,1
John will study math and Mary will,,,,,John will study math and Mary will study math,,,,,John will study math and Mary learns,,,,,1
John can like tea but Mary cannot,,,,,John can like tea but Mary cannot like tea,,,,,John can like tea but Mary appreciates,,,,,1
Mary will read poems and Tim will,,,,,Mary will read poems and Tim will read poems,,,,,Mary will read poems and Tim interprets,,,,,1
Mary will watch movies and John will,,,,,Mary will watch movies and John will watch movies,,,,,Mary will watch movies and John sees,,,,,1
John will study chess and Tim will,,,,,John will study chess and Tim will study chess,,,,,John will study chess and Tim learns,,,,,1
John cannot study history but Sarah can,,,,,John cannot study history but Sarah can study history,,,,,John cannot study history but Sarah learns,,,,,1
Tim cannot like chess but Sarah can,,,,,Tim cannot like chess but Sarah can like chess,,,,,Tim cannot like chess but Sarah appreciates,,,,,1
John can cook pizza and Sarah can,,,,,John can cook pizza and Sarah can cook pizza,,,,,John can cook pizza and Sarah makes,,,,,1
John cannot teach music but Sarah can,,,,,John cannot teach music but Sarah can teach music,,,,,John cannot teach music but Sarah tutors,,,,,1
Mary cannot study pizza but Tim can,,,,,Mary cannot study pizza but Tim can study pizza,,,,,Mary cannot study pizza but Tim learns,,,,,1
Mary cannot watch movies but Tim can,,,,,Mary cannot watch movies but Tim can watch movies,,,,,Mary cannot watch movies but Tim sees,,,,,1
Mary cannot cook pizza but Tim can,,,,,Mary cannot cook pizza but Tim can cook pizza,,,,,Mary cannot cook pizza but Tim makes,,,,,1
Mary cannot study chess but John can,,,,,Mary cannot study chess but John can study chess,,,,,Mary cannot study chess but John learns,,,,,1
John cannot study coffee but Sarah can,,,,,John cannot study coffee but Sarah can study coffee,,,,,John cannot study coffee but Sarah learns,,,,,1
Mary can teach history but Sarah cannot,,,,,Mary can teach history but Sarah cannot teach history,,,,,Mary can teach history but Sarah tutors,,,,,1
John cannot like tea but Tim can,,,,,John cannot like tea but Tim can like tea,,,,,John cannot like tea but Tim appreciates,,,,,1
John cannot study chess but Tim can,,,,,John cannot study chess but Tim can study chess,,,,,John cannot study chess but Tim learns,,,,,1
Tim can study TV shows and Sarah can,,,,,Tim can study TV shows and Sarah can TV shows,,,,,Tim can study TV shows and Sarah learns,,,,,1
Mary cannot study tea but Sarah can,,,,,Mary cannot study tea but Sarah can study tea,,,,,Mary cannot study tea but Sarah learns,,,,,1
Tim will teach chess and John will,,,,,Tim will teach chess and John will teach chess,,,,,Tim will teach chess and John tutors,,,,,1
Mary can watch movies but Tim cannot,,,,,Mary can watch movies but Tim cannot watch movies,,,,,Mary can watch movies but Tim sees,,,,,1
John cannot read novel but Mary can,,,,,John cannot read novel but Mary can read novel,,,,,John cannot read novel but Mary interprets,,,,,1
Tim cannot study music but Mary can,,,,,Tim cannot study music but Mary can study music,,,,,Tim cannot study music but Mary learns,,,,,1
Sarah cannot like chess but John can,,,,,Sarah cannot like chess but John can like chess,,,,,Sarah cannot like chess but John appreciates,,,,,1
Mary can like math but Sarah cannot,,,,,Mary can like math but Sarah cannot like math,,,,,Mary can like math but Sarah appreciates,,,,,1
Mary can teach history but Tim cannot,,,,,Mary can teach history but Tim cannot teach history,,,,,Mary can teach history but Tim tutors,,,,,1
Sarah cannot play chess but Mary can,,,,,Sarah cannot play chess but Mary can play chess,,,,,Sarah cannot play chess but Mary participates,,,,,1
John can study TV shows and Sarah can,,,,,John can study TV shows and Sarah can TV shows,,,,,John can study TV shows and Sarah learns,,,,,1
John cannot like chess but Mary can,,,,,John cannot like chess but Mary can like chess,,,,,John cannot like chess but Mary appreciates,,,,,1
John can study history and Mary can,,,,,John can study history and Mary can study history,,,,,John can study history and Mary learns,,,,,1
Tim cannot study coffee but John can,,,,,Tim cannot study coffee but John can study coffee,,,,,Tim cannot study coffee but John learns,,,,,1
Mary cannot like history but Sarah can,,,,,Mary cannot like history but Sarah can like history,,,,,Mary cannot like history but Sarah appreciates,,,,,1
Sarah cannot like TV shows but Mary can,,,,,Sarah cannot like TV shows but Mary can TV shows,,,,,Sarah cannot like TV shows but Mary appreciates,,,,,1
Mary can read poems but Sarah cannot,,,,,Mary can read poems but Sarah cannot read poems,,,,,Mary can read poems but Sarah interprets,,,,,1
Sarah cannot teach tennis but Mary can,,,,,Sarah cannot teach tennis but Mary can teach tennis,,,,,Sarah cannot teach tennis but Mary tutors,,,,,1
Sarah can teach music and John can,,,,,Sarah can teach music and John can teach music,,,,,Sarah can teach music and John tutors,,,,,1
John cannot teach history but Mary can,,,,,John cannot teach history but Mary can teach history,,,,,John cannot teach history but Mary tutors,,,,,1
Mary can teach chess and Sarah can,,,,,Mary can teach chess and Sarah can teach chess,,,,,Mary can teach chess and Sarah tutors,,,,,1
Tim cannot like tennis but Mary can,,,,,Tim cannot like tennis but Mary can like tennis,,,,,Tim cannot like tennis but Mary appreciates,,,,,1
Mary cannot like novel but Sarah can,,,,,Mary cannot like novel but Sarah can like novel,,,,,Mary cannot like novel but Sarah appreciates,,,,,1
Mary cannot read novel but Sarah can,,,,,Mary cannot read novel but Sarah can read novel,,,,,Mary cannot read novel but Sarah interprets,,,,,1
Mary can teach math and John can,,,,,Mary can teach math and John can teach math,,,,,Mary can teach math and John tutors,,,,,1
Tim can teach music and John can,,,,,Tim can teach music and John can teach music,,,,,Tim can teach music and John tutors,,,,,1
John can teach chess and Tim can,,,,,John can teach chess and Tim can teach chess,,,,,John can teach chess and Tim tutors,,,,,1
Mary will like tea and John will,,,,,Mary will like tea and John will like tea,,,,,Mary will like tea and John appreciates,,,,,1
Sarah will study TV shows and Mary will,,,,,Sarah will study TV shows and Mary will TV shows,,,,,Sarah will study TV shows and Mary learns,,,,,1
Sarah will study movies and Mary will,,,,,Sarah will study movies and Mary will study movies,,,,,Sarah will study movies and Mary learns,,,,,1
John can study sushi and Sarah can,,,,,John can study sushi and Sarah can study sushi,,,,,John can study sushi and Sarah learns,,,,,1
John cannot watch movies but Mary can,,,,,John cannot watch movies but Mary can watch movies,,,,,John cannot watch movies but Mary sees,,,,,1
Mary cannot teach math but Sarah can,,,,,Mary cannot teach math but Sarah can teach math,,,,,Mary cannot teach math but Sarah tutors,,,,,1
Mary can study pizza but Sarah cannot,,,,,Mary can study pizza but Sarah cannot study pizza,,,,,Mary can study pizza but Sarah learns,,,,,1
Mary cannot like music but Sarah can,,,,,Mary cannot like music but Sarah can like music,,,,,Mary cannot like music but Sarah appreciates,,,,,1
Sarah cannot teach music but Mary can,,,,,Sarah cannot teach music but Mary can teach music,,,,,Sarah cannot teach music but Mary tutors,,,,,1
Sarah cannot play tennis but Tim can,,,,,Sarah cannot play tennis but Tim can play tennis,,,,,Sarah cannot play tennis but Tim participates,,,,,1
Sarah cannot teach music but John can,,,,,Sarah cannot teach music but John can teach music,,,,,Sarah cannot teach music but John tutors,,,,,1
Mary can play tennis and Sarah can,,,,,Mary can play tennis and Sarah can play tennis,,,,,Mary can play tennis and Sarah participates,,,,,1
John will like poems and Mary will,,,,,John will like poems and Mary will like poems,,,,,John will like poems and Mary appreciates,,,,,1
Mary cannot read novel but John can,,,,,Mary cannot read novel but John can read novel,,,,,Mary cannot read novel but John interprets,,,,,1
Sarah can study novel and John can,,,,,Sarah can study novel and John can study novel,,,,,Sarah can study novel and John learns,,,,,1
Tim cannot study movies but John can,,,,,Tim cannot study movies but John can study movies,,,,,Tim cannot study movies but John learns,,,,,1
John can study music but Mary cannot,,,,,John can study music but Mary cannot study music,,,,,John can study music but Mary learns,,,,,1
Mary can like tennis but Tim cannot,,,,,Mary can like tennis but Tim cannot like tennis,,,,,Mary can like tennis but Tim appreciates,,,,,1
Sarah cannot like movies but John can,,,,,Sarah cannot like movies but John can like movies,,,,,Sarah cannot like movies but John appreciates,,,,,1
Tim will study TV shows and Mary will,,,,,Tim will study TV shows and Mary will study TV shows,,,,,Tim will study TV shows and Mary learns,,,,,1
Tim will study math and Mary will,,,,,Tim will study math and Mary will study math,,,,,Tim will study math and Mary learns,,,,,1
Sarah will like sushi and John will,,,,,Sarah will like sushi and John will like sushi,,,,,Sarah will like sushi and John appreciates,,,,,1
Tim cannot like tennis but John can,,,,,Tim cannot like tennis but John can like tennis,,,,,Tim cannot like tennis but John appreciates,,,,,1
John can read novel but Tim cannot,,,,,John can read novel but Tim cannot read novel,,,,,John can read novel but Tim interprets,,,,,1
Mary can cook sushi and Sarah can,,,,,Mary can cook sushi and Sarah can cook sushi,,,,,Mary can cook sushi and Sarah makes,,,,,1
Sarah cannot study tea but Mary can,,,,,Sarah cannot study tea but Mary can study tea,,,,,Sarah cannot study tea but Mary learns,,,,,1
John can study coffee but Mary cannot,,,,,John can study coffee but Mary cannot study coffee,,,,,John can study coffee but Mary learns,,,,,1
Tim can study novel and John can,,,,,Tim can study novel and John can study novel,,,,,Tim can study novel and John learns,,,,,1
Tim will study coffee and Mary will,,,,,Tim will study coffee and Mary will study coffee,,,,,Tim will study coffee and Mary learns,,,,,1
Mary will cook sushi and John will,,,,,Mary will cook sushi and John will cook sushi,,,,,Mary will cook sushi and John makes,,,,,1
Tim will study history and John will,,,,,Tim will study history and John will study history,,,,,Tim will study history and John learns,,,,,1
John will teach tennis and Tim will,,,,,John will teach tennis and Tim will teach tennis,,,,,John will teach tennis and Tim tutors,,,,,1
Tim can study math and Mary can,,,,,Tim can study math and Mary can study math,,,,,Tim can study math and Mary learns,,,,,1
Mary can study history and Sarah can,,,,,Mary can study history and Sarah can study history,,,,,Mary can study history and Sarah learns,,,,,1
Tim can study math and Sarah can,,,,,Tim can study math and Sarah can study math,,,,,Tim can study math and Sarah learns,,,,,1
John cannot like music but Sarah can,,,,,John cannot like music but Sarah can like music,,,,,John cannot like music but Sarah appreciates,,,,,1
Tim cannot like TV shows but Sarah can,,,,,Tim cannot like TV shows but Sarah can TV shows,,,,,Tim cannot like TV shows but Sarah appreciates,,,,,1
Mary cannot study coffee but Sarah can,,,,,Mary cannot study coffee but Sarah can study coffee,,,,,Mary cannot study coffee but Sarah learns,,,,,1
Tim will study history and Sarah will,,,,,Tim will study history and Sarah will study history,,,,,Tim will study history and Sarah learns,,,,,1
Mary will watch movies and Sarah will,,,,,Mary will watch movies and Sarah will watch movies,,,,,Mary will watch movies and Sarah sees,,,,,1
Sarah can play tennis and Tim can,,,,,Sarah can play tennis and Tim can play tennis,,,,,Sarah can play tennis and Tim participates,,,,,1
Mary can like pizza but Tim cannot,,,,,Mary can like pizza but Tim cannot like pizza,,,,,Mary can like pizza but Tim appreciates,,,,,1
Sarah cannot like sushi but John can,,,,,Sarah cannot like sushi but John can like sushi,,,,,Sarah cannot like sushi but John appreciates,,,,,1
Mary cannot study history but Sarah can,,,,,Mary cannot study history but Sarah can study history,,,,,Mary cannot study history but Sarah learns,,,,,1
John cannot teach tennis but Sarah can,,,,,John cannot teach tennis but Sarah can teach tennis,,,,,John cannot teach tennis but Sarah tutors,,,,,1
Sarah will study math and Tim will,,,,,Sarah will study math and Tim will study math,,,,,Sarah will study math and Tim learns,,,,,1
Mary can teach history but John cannot,,,,,Mary can teach history but John cannot teach history,,,,,Mary can teach history but John tutors,,,,,1
Sarah will read poems and John will,,,,,Sarah will read poems and John will read poems,,,,,Sarah will read poems and John interprets,,,,,1
Mary will like tea and Sarah will,,,,,Mary will like tea and Sarah will like tea,,,,,Mary will like tea and Sarah appreciates,,,,,1
John cannot study TV shows but Tim can,,,,,John cannot study TV shows but Tim can TV shows,,,,,John cannot study TV shows but Tim learns,,,,,1
John will study chess and Mary will,,,,,John will study chess and Mary will study chess,,,,,John will study chess and Mary learns,,,,,1
John will like chess and Mary will,,,,,John will like chess and Mary will like chess,,,,,John will like chess and Mary appreciates,,,,,1
Tim cannot study chess but John can,,,,,Tim cannot study chess but John can study chess,,,,,Tim cannot study chess but John learns,,,,,1
Tim cannot like novel but Sarah can,,,,,Tim cannot like novel but Sarah can like novel,,,,,Tim cannot like novel but Sarah appreciates,,,,,1
Tim will like pizza and Mary will,,,,,Tim will like pizza and Mary will like pizza,,,,,Tim will like pizza and Mary appreciates,,,,,1
John will like novel and Sarah will,,,,,John will like novel and Sarah will like novel,,,,,John will like novel and Sarah appreciates,,,,,1
Sarah can read novel and John can,,,,,Sarah can read novel and John can read novel,,,,,Sarah can read novel and John interprets,,,,,1
Mary can read poems and Sarah can,,,,,Mary can read poems and Sarah can read poems,,,,,Mary can read poems and Sarah interprets,,,,,1
Tim will read novel and Sarah will,,,,,Tim will read novel and Sarah will read novel,,,,,Tim will read novel and Sarah interprets,,,,,1
Tim will like tennis and Mary will,,,,,Tim will like tennis and Mary will like tennis,,,,,Tim will like tennis and Mary appreciates,,,,,1
Tim cannot teach tennis but John can,,,,,Tim cannot teach tennis but John can teach tennis,,,,,Tim cannot teach tennis but John tutors,,,,,1
Mary cannot study novel but Sarah can,,,,,Mary cannot study novel but Sarah can study novel,,,,,Mary cannot study novel but Sarah learns,,,,,1
Mary will like poems and Sarah will,,,,,Mary will like poems and Sarah will like poems,,,,,Mary will like poems and Sarah appreciates,,,,,1
John can study novel but Mary cannot,,,,,John can study novel but Mary cannot study novel,,,,,John can study novel but Mary learns,,,,,1
Sarah will play chess and Tim will,,,,,Sarah will play chess and Tim will play chess,,,,,Sarah will play chess and Tim participates,,,,,1
Mary cannot like sushi but Tim can,,,,,Mary cannot like sushi but Tim can like sushi,,,,,Mary cannot like sushi but Tim appreciates,,,,,1
Mary will like novel and John will,,,,,Mary will like novel and John will like novel,,,,,Mary will like novel and John appreciates,,,,,1
Tim can study pizza and John can,,,,,Tim can study pizza and John can study pizza,,,,,Tim can study pizza and John learns,,,,,1
Mary can study history but Sarah cannot,,,,,Mary can study history but Sarah cannot study history,,,,,Mary can study history but Sarah learns,,,,,1
Mary can study TV shows and John can,,,,,Mary can study TV shows and John can TV shows,,,,,Mary can study TV shows and John learns,,,,,1
Tim cannot study tea but John can,,,,,Tim cannot study tea but John can study tea,,,,,Tim cannot study tea but John learns,,,,,1
Sarah cannot play chess but John can,,,,,Sarah cannot play chess but John can play chess,,,,,Sarah cannot play chess but John participates,,,,,1
John will study coffee and Sarah will,,,,,John will study coffee and Sarah will study coffee,,,,,John will study coffee and Sarah learns,,,,,1
Tim will like TV shows and John will,,,,,Tim will like TV shows and John will TV shows,,,,,Tim will like TV shows and John appreciates,,,,,1
John will like history and Tim will,,,,,John will like history and Tim will like history,,,,,John will like history and Tim appreciates,,,,,1
Tim will like history and John will,,,,,Tim will like history and John will like history,,,,,Tim will like history and John appreciates,,,,,1
Mary will study sushi and Sarah will,,,,,Mary will study sushi and Sarah will study sushi,,,,,Mary will study sushi and Sarah learns,,,,,1
John will study chess and Sarah will,,,,,John will study chess and Sarah will study chess,,,,,John will study chess and Sarah learns,,,,,1
Mary can teach music and Tim can,,,,,Mary can teach music and Tim can teach music,,,,,Mary can teach music and Tim tutors,,,,,1
Tim will teach chess and Mary will,,,,,Tim will teach chess and Mary will teach chess,,,,,Tim will teach chess and Mary tutors,,,,,1
Sarah can teach chess and Tim can,,,,,Sarah can teach chess and Tim can teach chess,,,,,Sarah can teach chess and Tim tutors,,,,,1
John cannot cook sushi but Tim can,,,,,John cannot cook sushi but Tim can cook sushi,,,,,John cannot cook sushi but Tim makes,,,,,1
John can like pizza but Sarah cannot,,,,,John can like pizza but Sarah cannot like pizza,,,,,John can like pizza but Sarah appreciates,,,,,1
Sarah will read novel and Mary will,,,,,Sarah will read novel and Mary will read novel,,,,,Sarah will read novel and Mary interprets,,,,,1
Mary can study music but Sarah cannot,,,,,Mary can study music but Sarah cannot study music,,,,,Mary can study music but Sarah learns,,,,,1
John cannot study chess but Mary can,,,,,John cannot study chess but Mary can study chess,,,,,John cannot study chess but Mary learns,,,,,1
Mary will teach history and John will,,,,,Mary will teach history and John will teach history,,,,,Mary will teach history and John tutors,,,,,1
John can like math but Sarah cannot,,,,,John can like math but Sarah cannot like math,,,,,John can like math but Sarah appreciates,,,,,1
John can teach music but Mary cannot,,,,,John can teach music but Mary cannot teach music,,,,,John can teach music but Mary tutors,,,,,1
John can study novel and Sarah can,,,,,John can study novel and Sarah can study novel,,,,,John can study novel and Sarah learns,,,,,1
Tim will watch TV shows and Sarah will,,,,,Tim will watch TV shows and Sarah will TV shows,,,,,Tim will watch TV shows and Sarah sees,,,,,1
Sarah can cook pizza and John can,,,,,Sarah can cook pizza and John can cook pizza,,,,,Sarah can cook pizza and John makes,,,,,1
John cannot teach chess but Tim can,,,,,John cannot teach chess but Tim can teach chess,,,,,John cannot teach chess but Tim tutors,,,,,1
Tim can study music and Mary can,,,,,Tim can study music and Mary can study music,,,,,Tim can study music and Mary learns,,,,,1
John cannot play tennis but Tim can,,,,,John cannot play tennis but Tim can play tennis,,,,,John cannot play tennis but Tim participates,,,,,1
Tim cannot teach chess but John can,,,,,Tim cannot teach chess but John can teach chess,,,,,Tim cannot teach chess but John tutors,,,,,1
John cannot study music but Sarah can,,,,,John cannot study music but Sarah can study music,,,,,John cannot study music but Sarah learns,,,,,1
Tim will like sushi and Mary will,,,,,Tim will like sushi and Mary will like sushi,,,,,Tim will like sushi and Mary appreciates,,,,,1
John can study music but Sarah cannot,,,,,John can study music but Sarah cannot study music,,,,,John can study music but Sarah learns,,,,,1
John can cook pizza but Sarah cannot,,,,,John can cook pizza but Sarah cannot cook pizza,,,,,John can cook pizza but Sarah makes,,,,,1
Mary can study pizza and Tim can,,,,,Mary can study pizza and Tim can study pizza,,,,,Mary can study pizza and Tim learns,,,,,1
Sarah cannot study coffee but Tim can,,,,,Sarah cannot study coffee but Tim can study coffee,,,,,Sarah cannot study coffee but Tim learns,,,,,1
John cannot like novel but Tim can,,,,,John cannot like novel but Tim can like novel,,,,,John cannot like novel but Tim appreciates,,,,,1
Sarah can study tea and Mary can,,,,,Sarah can study tea and Mary can study tea,,,,,Sarah can study tea and Mary learns,,,,,1
Mary can teach chess and John can,,,,,Mary can teach chess and John can teach chess,,,,,Mary can teach chess and John tutors,,,,,1
Tim will like chess and Sarah will,,,,,Tim will like chess and Sarah will like chess,,,,,Tim will like chess and Sarah appreciates,,,,,1
Mary will read novel and Sarah will,,,,,Mary will read novel and Sarah will read novel,,,,,Mary will read novel and Sarah interprets,,,,,1
Tim cannot study chess but Mary can,,,,,Tim cannot study chess but Mary can study chess,,,,,Tim cannot study chess but Mary learns,,,,,1
Mary can play chess but Tim cannot,,,,,Mary can play chess but Tim cannot play chess,,,,,Mary can play chess but Tim participates,,,,,1
John can watch movies but Mary cannot,,,,,John can watch movies but Mary cannot watch movies,,,,,John can watch movies but Mary sees,,,,,1
John can like novel but Tim cannot,,,,,John can like novel but Tim cannot like novel,,,,,John can like novel but Tim appreciates,,,,,1
Tim cannot like pizza but Sarah can,,,,,Tim cannot like pizza but Sarah can like pizza,,,,,Tim cannot like pizza but Sarah appreciates,,,,,1
Mary will like math and Tim will,,,,,Mary will like math and Tim will like math,,,,,Mary will like math and Tim appreciates,,,,,1
Mary cannot study math but Tim can,,,,,Mary cannot study math but Tim can study math,,,,,Mary cannot study math but Tim learns,,,,,1
Tim will read poems and John will,,,,,Tim will read poems and John will read poems,,,,,Tim will read poems and John interprets,,,,,1
John can play chess and Tim can,,,,,John can play chess and Tim can play chess,,,,,John can play chess and Tim participates,,,,,1
John cannot teach chess but Mary can,,,,,John cannot teach chess but Mary can teach chess,,,,,John cannot teach chess but Mary tutors,,,,,1
John can study tea but Tim cannot,,,,,John can study tea but Tim cannot study tea,,,,,John can study tea but Tim learns,,,,,1
Mary can study history but Tim cannot,,,,,Mary can study history but Tim cannot study history,,,,,Mary can study history but Tim learns,,,,,1
Tim cannot watch movies but Mary can,,,,,Tim cannot watch movies but Mary can watch movies,,,,,Tim cannot watch movies but Mary sees,,,,,1
Tim can study sushi and Mary can,,,,,Tim can study sushi and Mary can study sushi,,,,,Tim can study sushi and Mary learns,,,,,1
John can like tennis but Tim cannot,,,,,John can like tennis but Tim cannot like tennis,,,,,John can like tennis but Tim appreciates,,,,,1
Sarah cannot like math but John can,,,,,Sarah cannot like math but John can like math,,,,,Sarah cannot like math but John appreciates,,,,,1
Mary can study coffee but Sarah cannot,,,,,Mary can study coffee but Sarah cannot study coffee,,,,,Mary can study coffee but Sarah learns,,,,,1
John will study tea and Tim will,,,,,John will study tea and Tim will study tea,,,,,John will study tea and Tim learns,,,,,1
Tim will like math and Sarah will,,,,,Tim will like math and Sarah will like math,,,,,Tim will like math and Sarah appreciates,,,,,1
Sarah can read poems and Tim can,,,,,Sarah can read poems and Tim can read poems,,,,,Sarah can read poems and Tim interprets,,,,,1
John can like chess but Sarah cannot,,,,,John can like chess but Sarah cannot like chess,,,,,John can like chess but Sarah appreciates,,,,,1
